"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C02","L11C02","4","0","11","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C03","L11C03","4","0","11","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C04","L11C04","4","0","11","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C05","L11C05","4","0","11","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C06","L11C06","4","0","11","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L11C07","L11C07","4","0","11","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C01","L12C01","4","0","12","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C02","L12C02","4","0","12","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C03","L12C03","4","0","12","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C04","L12C04","4","0","12","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C05","L12C05","4","0","12","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C06","L12C06","4","0","12","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L12C07","L12C07","4","0","12","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L13C01","L13C01","4","0","13","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L13C02","L13C02","4","0","13","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L13C03","L13C03","4","0","13","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L13C04","L13C04","4","0","13","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L13C05","L13C05","4","0","13","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L13C06","L13C06","4","0","13","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L13C07","L13C07","4","0","13","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L14C01","L14C01","4","0","14","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L14C02","L14C02","4","0","14","02","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L14C03","L14C03","4","0","14","03","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L14C04","L14C04","4","0","14","04","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L14C05","L14C05","4","0","14","05","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L14C06","L14C06","4","0","14","06","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P04-0L14C07","L14C07","4","0","14","07","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P08-0L01C01","L01C01","8","0","01","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P08-0L02C01","L02C01","8","0","02","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P08-0L03C01","L03C01","8","0","03","01","0.00",0.00,,
"AS480A",2021-04-01,2022-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P09-0L01C01","L01C01","9","0","01","01","0.00",0.00,,
